tconst,titleType,startYear,runtimeMinutes,averageRating,numVotes,Adventure,Animation,Family,Mystery,Horror,Musical,Comedy,Fantasy,Documentary,War,Crime,Film-Noir,Romance,Action,Drama,Thriller,Sci-Fi,Western,History,Biography,title,language
tt0054144,movie,1960,111,8.1,4877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Une femme monte l'escalier,fr
tt0054167,movie,1960,101,7.6,39963,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Le voyeur,fr
tt0054177,movie,1963,88,7.1,8208,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Le Petit Soldat,fr
tt0054188,movie,1960,112,6.4,5004,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Ne mangez pas les marguerites,fr
tt0054189,movie,1960,118,7.7,20009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Plein Soleil,fr
tt0054195,movie,1960,134,7.4,11531,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Pollyanna,fr
tt0054215,movie,1960,109,8.5,725645,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Psychose,fr
tt0054240,movie,1965,92,3,3356,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Orgie Macabre,fr
tt0054269,movie,1960,89,7.5,9399,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Saturday Night and Sunday Morning,fr
tt0054292,movie,1960,111,7.4,5461,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,Le sergent noir,fr
tt0054310,movie,1960,97,7.2,8398,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,Coulez le Bismarck,fr
tt0054331,movie,1960,197,7.9,144352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Spartacus,fr
tt0054333,movie,1960,77,2.7,4230,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dans le filet du sadique,fr
